product_id,category,brand,product_name,product_url
59,에센스/세럼/앰플,브링그린,[1월올영PICK] 브링그린 징크테카 트러블세럼 1.5mlx10ea/ 25+25ml/ 50+25ml 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000226515&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=59
60,에센스/세럼/앰플,바이오힐보,[모공탄력] 바이오힐 보 프로바이오덤 콜라겐 리모델링 세럼 30ml [증정/더블기획],https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000233390&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=60
61,에센스/세럼/앰플,리쥬란,[c-PDRN] 리쥬란 턴오버 앰플 듀얼 이펙트 10ml 더블 단독기획(+앰플8ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000216520&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=61
62,에센스/세럼/앰플,마몽드,[화해1등/규진PICK] 마몽드 카밍 샷 아줄렌 흔적 수분앰플 50ml 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219389&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=62
63,에센스/세럼/앰플,닥터지,[수분진정] 닥터지 레드 블레미쉬 클리어 히알 시카 수딩 세럼 50ml 2종 (단품/20ml 증정 기획),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224329&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=63
64,에센스/세럼/앰플,마녀공장,[장벽부스터/더블기획] 마녀공장 비피다 바이옴 콤플렉스 앰플 30ml 2입 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000166599&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=64
65,에센스/세럼/앰플,넘버즈인,[수분진정] 넘버즈인 1번 판토텐산 액티브업 수딩세럼 50ml 리필기획 (50ml+50ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000207225&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=65
66,에센스/세럼/앰플,웰라쥬,[소윤PICK/속건조필수템] 웰라쥬 리얼 히알루로닉 블루 100 앰플 100ml 기획 (+원데이키트2ea),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000231884&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=66
67,에센스/세럼/앰플,설화수,설화수 윤조에센스 90ml 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204633&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=67
68,에센스/세럼/앰플,토리든,[1등세럼/단독기획] 토리든 다이브인 저분자 히알루론산 세럼 50ml 기획(+멀티패드 10매),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000190326&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=68
