ingredients,Total_Count,로션,미스트/오일,스킨/토너,에센스/세럼/앰플,크림
하이드로제네이티드식물성오일,9,0,0,0,3,6
포도추출물,9,2,0,0,4,3
비피다발효여과물,9,1,0,2,4,2
하이드롤라이즈드옥수수전분,9,0,1,1,3,4
참당귀뿌리추출물,8,0,1,0,5,2
흰목이버섯폴리사카라이드,8,1,0,1,1,5
파파야열매추출물,8,0,1,3,2,2
산양삼추출물,8,0,1,0,6,1
올리고펩타이드-1,8,1,1,0,5,1
다이펩타이드-4,8,0,0,0,5,3
로즈마리잎수,8,0,0,0,5,3
비파나무잎추출물,8,0,1,0,7,0
사과씨추출물,8,0,0,1,5,2
하이드록시에틸피페라진에탄설포닉애씨드,8,0,1,0,3,4
다이스타치포스페이트,8,0,0,0,2,6
아스파라진,8,0,0,1,4,3
아라비아고무나무검,8,1,0,0,5,2
필리핀오렌지껍질오일,8,0,0,1,2,5
하이드록시페닐프로파미도벤조익애씨드,8,0,1,2,4,1
실리카다이메틸실릴레이트,8,0,0,0,2,6
세라마이드엔지,8,0,1,0,1,6
비스-하이드록시에톡시프로필다이메티콘,8,0,0,0,1,7
벤질살리실레이트,8,0,0,0,3,5
감나무잎추출물,8,2,0,1,5,0
아텔로콜라겐,8,0,1,0,3,4
오레가노잎추출물,8,0,3,0,2,3
라즈베리케톤,8,0,0,2,4,2
효모발효추출물,8,0,0,0,4,4
돌콩추출물,8,0,1,3,1,3
하이드롤라이즈드디엔에이,8,0,0,0,7,1
로우스위트블루베리추출물,8,0,0,0,7,1
황해쑥잎수,8,1,1,0,2,4
호박가루,8,0,2,0,3,3
글리세레스-25피씨에이아이소스테아레이트,8,0,0,4,2,2
아크릴레이트/암모늄메타크릴레이트코폴리머,8,1,0,0,4,3
녹차씨오일,8,0,0,0,5,3
아보카도오일,8,0,4,0,1,3
비타민나무수,8,0,1,1,5,1
마그네슘아스코빌포스페이트,8,0,0,0,5,3
유칼립투스잎오일,8,0,0,2,4,2
병풀꽃/잎/줄기추출물,8,1,1,0,1,5
니코틴아마이드아데닌다이뉴클레오타이드,8,0,0,0,8,0
헥사펩타이드-2,8,0,0,0,2,6
레몬밤꽃/잎/줄기수,8,0,0,0,5,3
베헤닉애씨드,8,0,1,0,3,4
메나다이온,8,0,0,0,4,4
헥사펩타이드-11,8,2,1,0,4,1
에스에이치-폴리펩타이드-22,8,0,0,0,6,2
흰목이버섯추출물,8,1,0,1,5,1
쌀추출물,7,1,1,0,2,3
불가리스쑥오일,7,0,0,0,5,2
가시대나무수액,7,0,0,3,1,3
이노시톨,7,0,1,0,3,3
사카라이드하이드롤리세이트,7,2,0,0,2,3
와일드인디고뿌리추출물,7,0,0,0,3,4
라즈베리잎추출물,7,0,0,0,3,4
개박하추출물,7,0,0,0,3,4
황색4호,7,1,0,1,2,3
스트렙토코쿠스 테르모필루스발효물,7,0,3,1,1,2
하이드롤라이즈드삼색제비꽃추출물,7,1,0,1,2,3
에스에이치-데카펩타이드-7,7,0,0,0,7,0
콩폴리펩타이드,7,0,0,0,1,6
테트라데실아미노부티로일발릴아미노부티릭우레아트라이플루오로아세테이트,7,0,0,0,7,0
레티닐팔미테이트,7,0,0,0,4,3
비치스트로베리추출물,7,0,0,0,3,4
하수오뿌리추출물,7,0,0,0,5,2
피리독신,7,0,0,0,4,3
트라이펩타이드-3,7,1,0,0,3,3
레이디스맨틀잎추출물,7,0,0,0,3,4
효모발효물,7,2,1,1,2,1
님잎추출물,7,0,0,3,1,3
라미나리아 오크롤레우카추출물,7,0,0,0,3,4
더덕뿌리추출물,7,0,1,0,4,2
에스에이치-폴리펩타이드-9,7,0,0,0,4,3
겨우살이추출물,7,0,0,0,3,4
에스에이치-옥타펩타이드-4,7,0,0,0,7,0
하이드록시시트로넬알,7,0,2,0,1,4
스타아니스열매/씨오일,7,6,1,0,0,0
효모폴리펩타이드,7,0,1,0,3,3
바오밥나무씨오일,7,0,1,0,6,0
티트리꽃/잎/줄기추출물,7,0,0,3,2,2
발삼아미리스껍질오일,7,0,0,1,4,2
다발방패버섯추출물,7,0,0,0,2,5
에스에이치-폴리펩타이드-11,7,0,0,0,4,3
아라키딕애씨드,7,2,0,0,2,3
포스포리피드,7,0,0,0,2,5
감초뿌리추출물,7,0,0,2,4,1
팔미타마이드엠이에이,7,2,0,0,2,3
하이드로제네이티드코코-글리세라이즈,7,0,0,0,0,7
미네랄솔트,7,0,1,0,1,5
하이드롤라이즈드맥아추출물,7,1,0,1,2,3
마카뿌리추출물,7,1,0,0,1,5
작약뿌리추출물,7,1,0,0,6,0
병풀뿌리추출물,7,1,0,0,3,3
헵타소듐헥사카복시메틸다이펩타이드-12,7,0,0,0,4,3
동백나무씨오일,6,0,2,0,1,3
하이드록시피나콜론레티노에이트,6,0,0,0,5,1
마시멜로뿌리추출물,6,0,0,0,3,3
당근씨오일,6,0,1,0,1,4
아세타마이드엠이에이,6,2,0,0,2,2
옥수수커넬추출물,6,0,1,0,3,2
메도우스위트꽃추출물,6,1,0,0,3,2
엘라스틴,6,0,0,0,4,2
미역추출물,6,0,1,1,2,2
타임추출물,6,0,0,0,5,1
알파-아이소메틸아이오논,6,1,1,1,0,3
바나나추출물,6,0,1,0,2,3
피브이피,6,0,0,1,4,1
트라이에톡시카프릴릴실레인,6,0,0,0,1,5
다이페닐실록시페닐트라이메티콘,6,0,1,0,1,4
홍삼추출물,6,0,0,1,5,0
병풀잎수,6,0,0,3,1,2
영지버섯추출물,6,0,0,0,6,0
폴리글루쿠로닉애씨드,6,0,1,0,5,0
구아검,6,0,0,0,2,4
옥탄다이올,6,0,1,3,1,1
아데노신포스페이트,6,6,0,0,0,0
라우릴글루코사이드,6,0,0,0,6,0
서양측백나무잎오일,6,6,0,0,0,0
구주소나무잎오일,6,6,0,0,0,0
터펜틴,6,6,0,0,0,0
바실러스발효물,6,1,0,0,4,1
덱스판테놀,6,0,0,0,1,5
사이클로덱스트린,6,0,0,1,4,1
리솔레시틴,6,0,0,0,4,2
미리스틸글루코사이드,6,0,0,0,6,0
스타아니스추출물,6,0,0,1,4,1
올레아놀릭애씨드,6,0,0,0,3,3
오크라열매추출물,6,0,0,1,3,2
폴리실리콘-11,6,2,0,0,2,2
씨대퍼딜추출물,6,0,0,1,1,4
칼슘글루코네이트,6,0,0,1,2,3
소듐팔미토일프롤린,6,0,2,0,1,3
돌콩펩타이드,6,0,0,0,3,3
에스에이치-폴리펩타이드-16,6,0,0,0,4,2
연필향나무오일,6,0,0,0,3,3
산수유열매추출물,6,0,0,0,6,0
스키조사카로미세스발효여과물,6,2,0,1,0,3
쌀배아오일,6,0,0,0,0,6
하이드롤라이즈드해면,6,0,0,0,6,0
히아신스전초추출물,6,0,0,1,1,4
살비아잎추출물,6,1,2,0,2,1
피씨에이,6,0,0,1,4,1
몰로키아잎추출물,6,2,0,0,3,1
리놀레닉애씨드,6,0,1,0,4,1
슈도알테로모나스발효추출물,6,0,0,0,0,6
아데노신트라이포스페이트,6,0,0,0,6,0
버지니아풍년화잎추출물,6,0,1,1,2,2
트라이에틸시트레이트,6,0,1,0,1,4
올리브오일불검화물,6,1,0,0,0,5
하이드록시프로필비스라우라마이드엠이에이,6,1,1,0,0,4
소듐메타바이설파이트,6,0,0,1,4,1
동충하초추출물,6,0,0,1,4,1
C12-14파레스-12,6,0,0,2,3,1
초피나무열매추출물,6,1,1,1,3,0
7-데하이드로콜레스테롤,6,2,0,0,0,4
징크글루코네이트,6,0,0,2,1,3
구아이아줄렌,6,0,0,0,5,1
육계나무껍질추출물,6,0,0,0,4,2
팔미토일다이펩타이드-7,6,1,0,0,1,4
지황뿌리추출물,6,0,1,0,5,0
징크옥사이드,6,0,0,1,3,2
칼슘판토테네이트,5,1,0,0,3,1
비타민나무오일,5,1,2,0,0,2
서양배추출물,5,0,0,0,3,2
프랑스해안송껍질추출물,5,0,0,0,3,2
카바카바잎/뿌리/줄기추출물,5,1,0,0,3,1
포도세포추출물,5,0,0,0,3,2
멕시칸치아씨추출물,5,0,2,0,2,1
검은뽕나무열매추출물,5,0,0,0,4,1
스테아릴다이메티콘,5,1,0,0,0,4
피이지-40스테아레이트,5,0,0,0,1,4
삼색제비꽃추출물,5,0,0,0,3,2
트라이펩타이드-2,5,1,0,0,1,3
알바수련꽃추출물,5,1,2,1,1,0
클레리추출물,5,0,0,0,1,4
카카두플럼추출물,5,1,0,0,3,1
밀배아오일불검화물,5,1,0,0,0,4
라즈베리추출물,5,0,1,0,3,1
돌콩오일불검화물,5,1,0,0,0,4
카프릴로일글라이신,5,0,0,1,0,4
시트룰린,5,0,0,1,0,4
히비스커스꽃추출물,5,1,1,0,1,2
갈락토미세스발효여과물,5,0,0,1,3,1
콜라겐수,5,0,1,0,1,3
연꽃꽃추출물,5,1,2,0,0,2
비스-카프릴로일옥시팔미타미도아이소프로판올,5,1,0,1,0,3
귀리펩타이드,5,1,0,0,0,4
하이드롤라이즈드루핀단백질,5,1,0,0,1,3
쿠푸아수씨버터,5,1,0,0,3,1
수레국화꽃추출물,5,0,0,0,1,4
진흙버섯추출물,5,0,0,1,2,2
디소듐이디티에이,5,2,2,0,1,0
하이드롤라이즈드콜라겐추출물,5,0,0,0,0,5
꽃가루추출물,5,1,0,0,0,4
아이소말트,5,1,0,0,0,4
피씨에이다이메티콘,5,1,0,0,1,3
마트리카리아꽃/잎추출물,5,1,0,0,2,2
황해쑥잎추출물,5,1,1,0,0,3
알파-비사보롤,5,0,0,0,3,2
파네솔,5,0,0,0,2,3
오이열매추출물,5,0,1,1,3,0
망고씨버터,5,0,0,0,0,5
비스-다이글리세릴폴리아실아디페이트-2,5,0,0,0,0,5
오르니틴,5,0,0,1,1,3
당호박추출물,5,0,1,0,2,2
x,5,0,0,0,5,0
인디안구스베리열매추출물,5,0,0,0,4,1
쌀발효여과물,5,0,0,0,4,1
천문동뿌리추출물,5,0,0,0,5,0
로즈마리추출물,5,0,1,0,2,2
카프릴릭/카프릭/미리스틱/스테아릭트라이글리세라이드,5,0,0,0,0,5
소듐콘드로이틴설페이트,5,0,0,0,2,3
아미노에탄설피닉애씨드,5,0,1,0,2,2
루틴,5,0,0,0,0,5
만노오스,5,0,0,0,3,2
버지니아풍년화수,5,0,0,2,2,1
